size,threads,time
30000,1,45.7814
30000,1,43.1178
30000,1,43.239
30000,1,43.2175
30000,1,43.1159
30000,2,24.98
30000,2,24.8633
30000,2,24.6713
30000,2,24.6003
30000,2,24.7086
30000,3,18.3062
30000,3,17.9881
30000,3,18.1541
30000,3,18.141
30000,3,18.6116
30000,4,14.879
30000,4,14.9305
30000,4,15.0465
30000,4,15.0354
30000,4,14.9253
30000,5,12.9012
30000,5,13.0758
30000,5,13.2336
30000,5,12.9026
30000,5,12.9157
30000,6,11.7331
30000,6,11.761
30000,6,11.7166
30000,6,11.694
30000,6,11.8042
30000,7,10.7779
30000,7,10.7819
30000,7,10.7264
30000,7,10.8236
30000,7,10.775
30000,8,10.3462
30000,8,10.3687
30000,8,10.1447
30000,8,10.2162
30000,8,10.1935
30000,9,9.42699
30000,9,9.61322
30000,9,9.41764
30000,9,9.53777
30000,9,9.57349
30000,10,9.03246
30000,10,9.14089
30000,10,9.13436
30000,10,9.03047
30000,10,8.97917
30000,11,8.94035
30000,11,8.67608
30000,11,8.72541
30000,11,8.86409
30000,11,9.03157
30000,12,8.3957
30000,12,8.90266
30000,12,8.48404
30000,12,8.43647
30000,12,8.48508
