size,threads,time
10000,1,7.44085
10000,1,6.11765
10000,1,6.09371
10000,1,6.06574
10000,1,6.08539
10000,2,4.02593
10000,2,4.11525
10000,2,4.08728
10000,2,3.99263
10000,2,3.96117
10000,3,3.3052
10000,3,3.29097
10000,3,3.29922
10000,3,3.32815
10000,3,3.31194
10000,4,2.94694
10000,4,2.96309
10000,4,3.03099
10000,4,2.97354
10000,4,2.96869
10000,5,2.76042
10000,5,2.76905
10000,5,2.7518
10000,5,2.80001
10000,5,2.75711
10000,6,2.6092
10000,6,2.61543
10000,6,2.61901
10000,6,2.65877
10000,6,2.59195
10000,7,2.54888
10000,7,2.50461
10000,7,2.52503
10000,7,2.46802
10000,7,2.49588
10000,8,2.41411
10000,8,2.45976
10000,8,2.4112
10000,8,2.48516
10000,8,2.35798
10000,9,2.37086
10000,9,2.40459
10000,9,2.40525
10000,9,2.38604
10000,9,2.33116
10000,10,2.33098
10000,10,2.3096
10000,10,2.31698
10000,10,2.57517
10000,10,2.29198
10000,11,2.26567
10000,11,2.28926
10000,11,2.27157
10000,11,2.2898
10000,11,2.2726
10000,12,2.22184
10000,12,2.23524
10000,12,2.34991
10000,12,2.35934
10000,12,2.33184
