size,threads,time
10000,1,17.7162
10000,1,17.7333
10000,1,17.7169
10000,1,17.7212
10000,1,17.7153
10000,2,9.36546
10000,2,9.35559
10000,2,9.35869
10000,2,9.3418
10000,2,9.36037
10000,3,6.65194
10000,3,6.65863
10000,3,6.62614
10000,3,6.6549
10000,3,6.65674
10000,4,5.24879
10000,4,5.4276
10000,4,5.22866
10000,4,5.25458
10000,4,5.24088
10000,5,4.48184
10000,5,4.47132
10000,5,4.47644
10000,5,4.47878
10000,5,4.47573
10000,6,3.84954
10000,6,3.82511
10000,6,3.84152
10000,6,3.82481
10000,6,3.85185
10000,7,3.49392
10000,7,3.49267
10000,7,3.49511
10000,7,3.4913
10000,7,3.4846
10000,8,3.15085
10000,8,3.14793
10000,8,3.17109
10000,8,3.17538
10000,8,3.17429
10000,9,2.96535
10000,9,2.96816
10000,9,2.96529
10000,9,3.16376
10000,9,2.9678
10000,10,2.75439
10000,10,2.72997
10000,10,2.72671
10000,10,2.75711
10000,10,2.75279
10000,11,2.6366
10000,11,2.63116
10000,11,2.63116
10000,11,3.00978
10000,11,2.63525
10000,12,2.45588
10000,12,2.45689
10000,12,2.45683
10000,12,2.45464
10000,12,2.45553
