size,tasks,time
15000,1,39.4706
15000,1,39.4679
15000,1,39.4319
15000,1,39.4569
15000,1,39.4545
15000,2,20.7582
15000,2,20.7091
15000,2,20.7177
15000,2,20.6651
15000,2,20.8005
15000,3,14.5122
15000,3,14.4586
15000,3,14.5099
15000,3,14.463
15000,3,14.4099
15000,4,11.3805
15000,4,11.2992
15000,4,11.2973
15000,4,11.7287
15000,4,11.2917
15000,5,9.33859
15000,5,9.33797
15000,5,9.2925
15000,5,9.29241
15000,5,9.35029
15000,6,8.09621
15000,6,8.11958
15000,6,8.12957
15000,6,8.09081
15000,6,8.31372
15000,7,7.40991
15000,7,8.20316
15000,7,8.09615
15000,7,8.22045
15000,7,8.18911
15000,8,7.55663
15000,8,7.58266
15000,8,7.55967
15000,8,7.52025
15000,8,7.59495
15000,9,7.08756
15000,9,6.81169
15000,9,7.05286
15000,9,7.16464
15000,9,7.02453
15000,10,6.7369
15000,10,6.72243
15000,10,6.72762
15000,10,6.80793
15000,10,6.78271
15000,11,6.55163
15000,11,6.58262
15000,11,6.55026
15000,11,6.45278
15000,11,6.59334
15000,12,6.35808
15000,12,6.35702
15000,12,6.5986
15000,12,6.37767
15000,12,6.33395
15000,13,6.31466
15000,13,6.37201
15000,13,6.53334
15000,13,6.40924
15000,13,6.34407
15000,14,5.77407
15000,14,6.1241
15000,14,5.78619
15000,14,5.23261
15000,14,5.8502
15000,15,4.86355
15000,15,5.05767
15000,15,5.04443
15000,15,5.15242
15000,15,5.11228
15000,16,4.95825
15000,16,4.87815
15000,16,4.88128
15000,16,4.86159
15000,16,4.91524
15000,17,4.56826
15000,17,4.87018
15000,17,4.4983
15000,17,4.67457
15000,17,4.55732
15000,18,4.49376
15000,18,4.38561
15000,18,4.39689
15000,18,4.5184
15000,18,4.43599
15000,19,4.38999
15000,19,4.40292
15000,19,4.33731
15000,19,4.34063
15000,19,4.39386
15000,20,4.24143
15000,20,4.27377
15000,20,4.27822
15000,20,4.30786
15000,20,4.25802
15000,21,4.19151
15000,21,4.23079
15000,21,4.1778
15000,21,4.1975
15000,21,4.21385
15000,22,4.14757
15000,22,4.08644
15000,22,4.17484
15000,22,4.18299
15000,22,4.19458
15000,23,4.15049
15000,23,4.15632
15000,23,4.12427
15000,23,4.13458
15000,23,4.11852
15000,24,4.09006
15000,24,4.18686
15000,24,4.14032
15000,24,4.11044
15000,24,4.09738
15000,25,4.36589
15000,25,3.89508
15000,25,3.87354
15000,25,3.88612
15000,25,3.93979
15000,26,3.88618
15000,26,3.85943
15000,26,3.88748
15000,26,3.85434
15000,26,4.01888
15000,27,3.83666
15000,27,3.85212
15000,27,3.84585
15000,27,3.83258
15000,27,3.86747
15000,28,3.98762
15000,28,3.76991
15000,28,3.86748
15000,28,4.02018
15000,28,3.93345
15000,29,3.92449
15000,29,3.92309
15000,29,3.87454
15000,29,3.90198
15000,29,3.94264
15000,30,3.73174
15000,30,3.83712
15000,30,4.01681
15000,30,3.74018
15000,30,3.79904
15000,31,3.85061
15000,31,3.83648
15000,31,3.70999
15000,31,3.94475
15000,31,3.84827
15000,32,3.7732
15000,32,3.82095
15000,32,3.74047
15000,32,3.66812
15000,32,3.97028
15000,33,3.78722
15000,33,3.67773
15000,33,3.65932
15000,33,3.75079
15000,33,3.70191
15000,34,3.88175
15000,34,3.79644
15000,34,3.77348
15000,34,3.74451
15000,34,3.7891
15000,35,3.62385
15000,35,3.90735
15000,35,3.68247
15000,35,3.64104
15000,35,3.58483
15000,36,3.63211
15000,36,3.58023
15000,36,3.7556
15000,36,3.61603
15000,36,3.58508
15000,37,3.65243
15000,37,3.57693
15000,37,3.63642
15000,37,3.6586
15000,37,3.67559
15000,38,3.50018
15000,38,3.46803
15000,38,3.47611
15000,38,3.42962
15000,38,3.50042
15000,39,3.39477
15000,39,3.40564
15000,39,3.43376
15000,39,3.42735
15000,39,3.4504
15000,40,3.36495
15000,40,3.35333
15000,40,3.38346
15000,40,3.49533
15000,40,3.41238
15000,41,3.50737
15000,41,3.5343
15000,41,3.52991
15000,41,3.49884
15000,41,3.5215
15000,42,3.48237
15000,42,3.51967
15000,42,3.47756
15000,42,3.4875
15000,42,3.64652
15000,43,3.48041
15000,43,3.52782
15000,43,3.46722
15000,43,3.46198
15000,43,3.50418
15000,44,3.57246
15000,44,3.46111
15000,44,3.46968
15000,44,3.41427
15000,44,3.46458
15000,45,3.4091
15000,45,3.42195
15000,45,3.42773
15000,45,3.4216
15000,45,3.50926
15000,46,3.48303
15000,46,3.40084
15000,46,3.38347
15000,46,3.47586
15000,46,3.41112
15000,47,3.38009
15000,47,3.39658
15000,47,3.40829
15000,47,3.41695
15000,47,3.40957
15000,48,3.36777
15000,48,3.37219
15000,48,3.42652
15000,48,3.3653
15000,48,3.37413
