size,sockets,time
100000,1,18.8878
100000,1,20.7229
100000,1,20.2551
100000,1,20.5834
100000,1,20.8459
141421,2,17.2545
141421,2,19.1463
141421,2,18.7983
141421,2,18.3946
141421,2,19.1521
173205,3,28.6715
173205,3,30.944
173205,3,31.1454
173205,3,28.7152
173205,3,32.4071
200000,4,32.8559
200000,4,30.5453
200000,4,30.9114
200000,4,31.2965
200000,4,32.5113
