size,tasks,time
25000,1,108.998
25000,1,109.11
25000,1,109.065
25000,1,109.067
25000,1,109.066
25000,2,57.4341
25000,2,57.3527
25000,2,57.1995
25000,2,57.1468
25000,2,57.4442
25000,3,39.9791
25000,3,40.0461
25000,3,39.9774
25000,3,39.9973
25000,3,39.8995
25000,4,31.2124
25000,4,31.3141
25000,4,31.2755
25000,4,31.2351
25000,4,31.1895
25000,5,25.9409
25000,5,26.0315
25000,5,26.0348
25000,5,26.0056
25000,5,26.0596
25000,6,22.5812
25000,6,22.1426
25000,6,22.4646
25000,6,22.4148
25000,6,22.4636
25000,7,20.0755
25000,7,20.0468
25000,7,19.9633
25000,7,20.0457
25000,7,20.0746
25000,8,18.1712
25000,8,18.2277
25000,8,18.1287
25000,8,17.9347
25000,8,18.2072
25000,9,16.6648
25000,9,17.2106
25000,9,16.5964
25000,9,16.7631
25000,9,16.7505
25000,10,15.5432
25000,10,15.6707
25000,10,15.6013
25000,10,15.6042
25000,10,15.6478
25000,11,14.8705
25000,11,14.6984
25000,11,15.0924
25000,11,14.8312
25000,11,14.8503
25000,12,14.0572
25000,12,14.0374
25000,12,14.149
25000,12,14.0895
25000,12,14.4259
25000,13,14.0331
25000,13,14.0305
25000,13,12.9814
25000,13,13.623
25000,13,13.8724
25000,14,13.1079
25000,14,13.2472
25000,14,13.0785
25000,14,12.6874
25000,14,12.9671
25000,15,12.0761
25000,15,11.8133
25000,15,11.9425
25000,15,12.2301
25000,15,12.0021
25000,16,11.323
25000,16,11.5701
25000,16,11.4263
25000,16,11.4022
25000,16,11.3331
25000,17,10.8111
25000,17,10.7632
25000,17,10.9407
25000,17,11.298
25000,17,10.6257
25000,18,10.3032
25000,18,10.8815
25000,18,10.2786
25000,18,10.4
25000,18,10.609
25000,19,10.4432
25000,19,10.0921
25000,19,10.4481
25000,19,10.3289
25000,19,10.1113
25000,20,9.8382
25000,20,9.90096
25000,20,9.79114
25000,20,9.71793
25000,20,9.95804
25000,21,9.46409
25000,21,9.47056
25000,21,9.63854
25000,21,9.9808
25000,21,9.51548
25000,22,9.25369
25000,22,9.67202
25000,22,9.53811
25000,22,9.25689
25000,22,9.2294
25000,23,9.76764
25000,23,9.06736
25000,23,9.04308
25000,23,9.07501
25000,23,9.19353
25000,24,8.91549
25000,24,9.17213
25000,24,9.39451
25000,24,9.03742
25000,24,9.03271
25000,25,10.3382
25000,25,9.72597
25000,25,9.2968
25000,25,9.44552
25000,25,9.73114
25000,26,9.09801
25000,26,8.99122
25000,26,9.0086
25000,26,9.39687
25000,26,9.21766
25000,27,8.81233
25000,27,8.78587
25000,27,9.16883
25000,27,9.09419
25000,27,8.8061
25000,28,8.8592
25000,28,8.97417
25000,28,8.79861
25000,28,8.66757
25000,28,9.25297
25000,29,8.47299
25000,29,8.38107
25000,29,8.62757
25000,29,9.04003
25000,29,8.43792
25000,30,8.51848
25000,30,8.43079
25000,30,8.59439
25000,30,8.42264
25000,30,8.50322
25000,31,8.39133
25000,31,8.53907
25000,31,8.39888
25000,31,8.45733
25000,31,8.49666
25000,32,8.38042
25000,32,8.12852
25000,32,8.16109
25000,32,8.24131
25000,32,8.63024
25000,33,8.09311
25000,33,8.12641
25000,33,8.15521
25000,33,8.50846
25000,33,8.1553
25000,34,8.11739
25000,34,8.21347
25000,34,8.31179
25000,34,8.10408
25000,34,8.16455
25000,35,7.96726
25000,35,8.26811
25000,35,8.14268
25000,35,8.00764
25000,35,8.04253
25000,36,8.00243
25000,36,8.0967
25000,36,7.90886
25000,36,7.96883
25000,36,8.30702
25000,37,7.83365
25000,37,7.61301
25000,37,7.50011
25000,37,7.53274
25000,37,7.76385
25000,38,7.45619
25000,38,7.46838
25000,38,7.62066
25000,38,7.73771
25000,38,7.55298
25000,39,7.60493
25000,39,7.44702
25000,39,7.70366
25000,39,7.64935
25000,39,7.52049
25000,40,7.25777
25000,40,7.22334
25000,40,7.21573
25000,40,7.2583
25000,40,7.3386
25000,41,7.46952
25000,41,7.31277
25000,41,7.22754
25000,41,7.37523
25000,41,7.49048
25000,42,7.43793
25000,42,7.1424
25000,42,7.19369
25000,42,7.15185
25000,42,7.29629
25000,43,7.18386
25000,43,7.22245
25000,43,7.12259
25000,43,7.49184
25000,43,7.0686
25000,44,7.11634
25000,44,7.18008
25000,44,7.10581
25000,44,7.06122
25000,44,7.16928
25000,45,7.10138
25000,45,7.47754
25000,45,7.02084
25000,45,7.09552
25000,45,7.15634
25000,46,7.22035
25000,46,7.28357
25000,46,6.83738
25000,46,6.86097
25000,46,6.83201
25000,47,7.32477
25000,47,6.79206
25000,47,6.80821
25000,47,6.81675
25000,47,6.95543
25000,48,6.98662
25000,48,7.01933
25000,48,7.02933
25000,48,7.08395
25000,48,6.95011
